n379657	NONHSAT071979.2
n379676	NA
n379691	NONHSAT081935.2
n379692	NONHSAT141838.2
n379717	NONHSAT102802.2
n379718	NONHSAT144408.2
n379772	NONHSAT104428.2
n379774	NA
n379781	NONHSAT096695.2
n379792	NONHSAT141525.2
n379821	NONHSAT102807.2
n379834	NONHSAT103648.2
n379841	NONHSAT028579.2
n379850	NONHSAT041262.2
n379927	NONHSAT064038.2
n379950	NA
n379972	NONHSAT120232.2
n380027	NONHSAT094933.2
n380031	NONHSAT098196.2
n380060	NONHSAT028567.2
n380064	NONHSAT032437.2
n380100	NONHSAT127620.2
n380108	NONHSAT119684.2
n380148	NONHSAT126967.2
n380151	NONHSAT033573.2
n380158	NONHSAT127058.2
n380163	NA
n380175	NA
n380177	NONHSAT129051.2
n380184	NONHSAT104697.2
n380208	NONHSAT119675.2
n380263	NONHSAT017187.2
n380278	NONHSAT023378.2
n380333	NONHSAT114469.2
n380399	NONHSAT001062.2
n380413	NONHSAT031824.2
n380415	NONHSAT026070.2
n380489	NONHSAT021853.2
n380490	NONHSAT031994.2
n380500	NONHSAT100622.2
n380543	NA
n380651	NONHSAT027274.2
n380659	NONHSAT031937.2
n380677	NONHSAT047861.2
n380693	NONHSAT021854.2
n380707	NONHSAT021840.2
n380714	NA
n380761	NONHSAT075639.2
